code,description
M80.079G,"""Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with delayed healing"""
M80.079K,"""Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with nonunion"""
M80.079P,"""Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with malunion"""
M80.079S,"""Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, sequela"""
M80.08XD,"""Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with routine healing"""
M80.08XG,"""Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with delayed healing"""
M80.08XK,"""Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with nonunion"""
M80.08XP,"""Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with malunion"""
M80.08XS,"""Age-related osteoporosis with current pathological fracture, vertebra(e), sequela"""
M80.0AXD,"""Age-related osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with routine healing"""
M80.0AXG,"""Age-related osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with delayed healing"""
M80.0AXK,"""Age-related osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with nonunion"""
M80.0AXP,"""Age-related osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with malunion"""
M80.0AXS,"""Age-related osteoporosis with current pathological fracture, other site, sequela"""
M80.0B1D,"""Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with routine healing"""
M80.0B1G,"""Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with delayed healing"""
M80.0B1K,"""Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with nonunion"""
M80.0B1P,"""Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with malunion"""
M80.0B1S,"""Age-related osteoporosis with current pathological fracture, right pelvis, sequela"""
M80.0B2D,"""Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with routine healing"""
M80.0B2G,"""Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with delayed healing"""
M80.0B2K,"""Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with nonunion"""
M80.0B2P,"""Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with malunion"""
M80.0B2S,"""Age-related osteoporosis with current pathological fracture, left pelvis, sequela"""
M80.0B9D,"""Age-related osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with routine healing"""
M80.0B9G,"""Age-related osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with delayed healing"""
M80.0B9K,"""Age-related osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with nonunion"""
M80.0B9P,"""Age-related osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with malunion"""
M80.0B9S,"""Age-related osteoporosis with current pathological fracture, unspecified pelvis, sequela"""
M80.80XD,"""Other osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with routine healing"""
M80.80XG,"""Other osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with delayed healing"""
M80.80XK,"""Other osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with nonunion"""
M80.80XP,"""Other osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with malunion"""
M80.80XS,"""Other osteoporosis with current pathological fracture, unspecified site, sequela"""
M80.811D,"""Other osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with routine healing"""
M80.811G,"""Other osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with delayed healing"""
M80.811K,"""Other osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with nonunion"""
M80.811P,"""Other osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with malunion"""
M80.811S,"""Other osteoporosis with current pathological fracture, right shoulder, sequela"""
M80.812D,"""Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with routine healing"""
M80.812G,"""Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with delayed healing"""
M80.812K,"""Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with nonunion"""
M80.812P,"""Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with malunion"""
M80.812S,"""Other osteoporosis with current pathological fracture, left shoulder, sequela"""
M80.819D,"""Other osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with routine healing"""
M80.819G,"""Other osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with delayed healing"""
M80.819K,"""Other osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with nonunion"""
M80.819P,"""Other osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with malunion"""
M80.819S,"""Other osteoporosis with current pathological fracture, unspecified shoulder, sequela"""
M80.821D,"""Other osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with routine healing"""
M80.821G,"""Other osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with delayed healing"""
M80.821K,"""Other osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with nonunion"""
M80.821P,"""Other osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with malunion"""
M80.821S,"""Other osteoporosis with current pathological fracture, right humerus, sequela"""
M80.822D,"""Other osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with routine healing"""
M80.822G,"""Other osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with delayed healing"""
M80.822K,"""Other osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with nonunion"""
M80.822P,"""Other osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with malunion"""
M80.822S,"""Other osteoporosis with current pathological fracture, left humerus, sequela"""
M80.829D,"""Other osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with routine healing"""
M80.829G,"""Other osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with delayed healing"""
M80.829K,"""Other osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with nonunion"""
M80.829P,"""Other osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with malunion"""
